"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,138412478771.949,141665772032.007,143471199149.593,152388053610.065,163017676302.68,172764481516.197,176849430907.562,187988393240.403,197560112952.593,211491916415.377,226649318387.455,235731026079.696,244950300951.551,251311930319.595,261615825764.61,265104461224.505,271962924125.537,281775670631.762,284304746590.875,295829692869.824,304856259998.335,315089666475.283,325561825908.587,318290093009.291,333029108848.326,350510941388.354,364295513861.385,373229422104.453,394036173791.446,409643795624.081,426641869197.778,426115475774.955,427468977653.725,445146928693.616,463121615550.693,480408466509.697,499360335109.573,519059727846.61,542062438272.657,569181931817.583,591246684200.804,602624399490,625937488759.31,645208831553.167,672037273875.106,693662607126.748,714360783064.541,741285295028.443,768695271336.935,782091586026.178,797442264201.02,815299279958.178,844771058582.629,867243396369.914
Austria,76547950503.7842,80787160170.1527,82926949576.0407,86358688646.7311,91647600222.6341,94837097018.5271,100188622969.434,103202344636.267,107817876287.234,114584382984.298,120939265418.753,127123046431.817,135014668402.289,141613241023.349,147198113745.277,146664810249.284,153377662190.913,161169217986.255,160829709421.252,169444874205.054,172378787496.912,172130054375.052,175592027623.776,180812533144.306,180905245197.759,185425485672.974,189692854397.65,192267305138.757,198604205226.26,206324099196.66,215290204955.405,222699691669.027,227361964790.958,228559729129.511,234050005275.684,240294421182.939,246221628946.862,251906666914.518,261442701476.568,270695492815.562,280623490488.614,283029563594.802,287823319834.959,290315637929.223,297833593201.169,304983601949.958,316175860568.074,327893175966.432,332602571530.543,319890852573.524,325550262356.948,334777576842.954,337691814574.738,338768508033.103
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11947380699.9004,11863749035.0011,9182541753.09087,7061374608.12689,5670283810.32588,5001190320.70742,5066205794.87663,5360045730.97948,5896050304.07742,6332358026.57915,7035249767.52943,7731739494.51484,8551303880.93342,9509049915.59796,10478973006.9889,13245421880.834,17815092429.7217,22277594932.4428,24677431177.481,26999738723.7741,28310397706.7948,28329060687.4146,28952300022.5376,30630571781.9863
"Bahamas, The",1465555336.99649,1621887572.55768,1791406789.02762,1979935483.02061,2187859717.03316,2415957140.07713,2635131033.94953,2888053971.5427,3131279067.87133,3412519940.2942,3219724512.30575,3272093649.59167,3157657533.75527,3396615401.1746,2827538667.45599,2408974604.99021,2533884399.32303,2765859731.65542,3158045328.23726,3983536142.95854,4242277983.92478,3850868224.57482,4108833980.04127,4256630848.58062,4859844420.50198,5094535059.01199,5186083852.37394,5340863504.26814,5464221872.40512,5831818021.46452,5738727669.81977,5498746505.08986,5288387407.82845,5304665405.52446,5471704880.25287,5711297211.16159,5952515574.41345,6075270743.45868,6361809297.86036,6816305220.13939,7099130519.08288,7285527215.34661,7482573734.55639,7387938285.15345,7453165227.38595,7706222000,7900177115.02624,8014454932.04387,7828204028.66271,7501356221.70039,7575468595.46331,7701174789.25569,7842273537.72516,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6205381344.42713,5875460065.0849,5431497523.01651,5777830298.74894,6066932370.79348,5778251520.69252,5846607977.89031,6454597145.75492,6906418547.35899,6931558279.52137,7239180650.90897,8052140617.96838,8590828541.82056,9696468812.85703,9672227543.86843,10052345335.8995,10465497270.3297,10789195022.3878,11305997719.1711,11792155711.5882,12417139191.8826,12726454402.4492,13186407218.3872,13980750122.3235,14956738763.2543,15969151305.8362,17001883592.7703,18412018570.4989,19560291944.684,20058224369.1706,20928102319.7712,21367597264.493,22094001093.1021,23306961753.1134
Bangladesh,12535248713.4613,13294654239.4587,14019615854.3488,13955701225.073,15484239670.8139,15732956544.7263,16136791961.3149,15834087701.9243,17336656174.1256,17548312111.8953,18534501334.1375,17518906477.793,15070862017.0098,15572070689.5044,17065736905.6669,16368053044.5314,17294707648.9232,17757004877.0813,19013106589.4436,19926046493.7895,20089269082.7483,20853062700.8675,21348628816.4517,22206008545.5143,23356429078.9036,24109272331.8098,25133571751.6335,26071622934.11,26634562018.3444,27330350481.7804,28954130547.4118,29921011908.9697,31428771530.1913,32866441570.7226,34208938270.255,35893746330.2851,37552743789.447,39575917286.7933,41644760785.2388,43672540057.1038,46268657157.3969,48708872666.3598,50859569550.3221,53532745612.4125,56889517978.7329,60277560975.6098,64273563733.4933,68404967192.7828,72639529865.7997,76809880500.331,81471733197.3778,86936936295.7459,92356328484.8005,97925639075.9455
Barbados,1130125934.18189,1217106413.46457,1327385487.4787,1259975263.14159,1323035459.50903,1474322493.72139,1533345096.71487,1696433768.73774,1813857882.97985,1950231061.0162,2135686391.93378,2219249872.55491,2247518692.34249,2277651184.99056,2171721244.2877,2258701922.38336,2256837851.8969,2355623249.40423,2500073204.69232,2691741242.37519,2819106005.54252,2728708129.97233,2592024207.25058,2596683985.84077,2683975209.80885,2697643602.08102,2952062184.91731,2982194677.56539,3168581844.91322,3328253518.27454,3168271299.0408,3076009551.79713,2922861329.8865,2951751440.23191,3069078136.11455,3114811483.18587,3171937609.1774,3374774363.55371,3513557353.7025,3604651820.24613,3687558812.11179,3593519264.36335,3617690071.81677,3689069487.57764,3741943128.88198,3891500000,4113569293.47825,4182305027.17389,4196656444.09936,4022928765.52795,4033125824.92236,4063717003.10559,4064094671.97202,NA
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23720632655.4238,23435985063.5589,21186130497.4572,19575984579.6504,17285594383.8313,15487892567.9129,15921553559.8145,17736610665.6333,19226485961.5465,19880186484.2391,21033237300.3249,22027122125.7886,23138449319.4142,24768134887.0246,27604022659.403,30210091836.8294,33230492798.8412,36104038406.1807,39804069049.4099,39869162696.9756,42955347353.8669,45336667868.3234,46121622956.7751,46534203009.3638
Belgium,102243686401.528,107333809666,112928051592.41,117842210935.102,126040122032.773,130527982040.105,134647308075.067,139855663811.457,145721391639.541,155382428164.159,164639017624.607,170817955139.745,179795543294.278,190803215410.714,198816252595.547,196177960397.217,207267411949.72,208565186749.295,214492427205.017,219513819334.643,229346943552.088,228706415107.559,230067188418.754,230784636217.976,236476668465.215,240382773149.868,244764379299.893,250410259934.317,262237659618.568,271335121478.099,279847996241.968,284977817933.091,289339844611.012,286556762504.868,295803867472.619,302858071564.774,307172021924.587,318645364582.31,324791916360.959,336289531885.155,348630077863.29,351445730374.35,356224175133.518,359098303186.539,370856300369.282,377350395463.364,387412601929.218,398582533756.008,402509221564.339,391236681711.088,400383139123.582,407406824031.656,406820965299.927,407620866581.478
Belize,89096949.2797272,93455818.8306962,98028292.9646401,102886989.991119,108031201.519181,113357716.634719,118765869.688783,124600984.795674,133780611.271734,140611962.931452,147372154.249032,153207269.355923,168862445.781011,177899751.572796,202022951.052565,209281273.002214,209210104.422972,222801639.163166,240449305.168115,258523916.751684,297733026.393647,301575668.394885,300721744.28923,294388498.55027,300152461.552127,303354652.23702,317230844.819974,352810785.250008,385402007.784458,435854369.113168,482179480.020505,532794077.697101,596919880.097548,634385948.154391,635387883.511344,639479575.51202,648615965.063223,671610593.103853,696735244.012574,757911163.001547,856733436.571541,899704301.94433,945756200.408203,1033988109.81795,1082048816.16904,1114200000,1166538878.45209,1180479978.312,1226298869.75106,1229902602.78559,1277265951.23945,1294254978.40225,1346251697.90051,1355518439.98931
