ccode1,ccode2,year,distance
255,339,1993,830
255,343,1993,818
255,344,1993,479
255,345,1993,622
255,346,1993,642
255,349,1993,449
255,350,1993,1122
255,352,1993,1549
255,355,1993,821
255,359,1993,788
255,360,1993,806
255,365,1993,1002
255,366,1993,648
255,367,1993,525
255,368,1993,511
255,369,1993,750
255,370,1993,594
255,371,1993,1694
255,372,1993,1638
255,373,1993,1905
255,375,1993,689
255,380,1993,505
255,385,1993,522
255,390,1993,220
255,395,1993,1485
255,402,1993,3291
255,403,1993,3629
255,404,1993,3240
255,411,1993,3384
255,420,1993,3167
255,432,1993,3001
255,433,1993,3116
255,434,1993,3242
255,435,1993,2859
255,436,1993,2768
255,437,1993,3333
255,438,1993,3339
255,439,1993,2897
255,450,1993,3477
255,451,1993,3394
255,452,1993,3339
255,461,1993,3282
255,471,1993,3366
255,475,1993,3017
255,481,1993,3613
255,482,1993,3343
255,483,1993,2796
255,484,1993,3929
255,490,1993,3933
255,500,1993,3777
255,501,1993,3962
255,510,1993,4377
255,516,1993,3977
255,517,1993,3890
255,520,1993,3943
255,522,1993,3277
255,530,1993,3312
255,531,1993,2927
255,540,1993,4243
255,541,1993,5551
255,551,1993,4782
255,552,1993,4980
255,553,1993,4758
255,560,1993,5985
255,565,1993,5198
255,570,1993,5724
255,571,1993,5390
255,572,1993,5557
255,580,1993,5349
255,581,1993,4782
255,590,1993,5682
255,591,1993,4652
255,600,1993,1622
255,615,1993,1199
255,616,1993,1098
255,620,1993,1358
255,625,1993,2761
255,630,1993,2183
255,640,1993,1268
255,645,1993,2028
255,651,1993,1799
255,652,1993,1738
255,660,1993,1692
255,663,1993,1816
255,666,1993,1804
255,670,1993,2598
255,679,1993,3074
255,690,1993,2375
255,692,1993,2644
255,694,1993,2732
255,696,1993,2883
255,698,1993,3092
255,700,1993,2973
255,701,1993,2364
255,702,1993,2773
255,703,1993,2835
255,704,1993,2677
255,705,1993,2913
255,710,1993,4575
255,712,1993,3851
255,713,1993,5625
255,731,1993,4936
255,732,1993,5056
255,740,1993,5548
255,750,1993,3597
255,760,1993,4173
255,770,1993,3179
255,771,1993,4401
255,775,1993,5007
255,780,1993,4862
255,781,1993,4765
255,790,1993,3982
255,800,1993,5353
255,811,1993,5656
255,812,1993,5212
255,816,1993,5181
255,820,1993,5980
255,830,1993,6174
255,835,1993,6438
255,840,1993,6139
255,850,1993,6707
255,900,1993,9997
